preferred_backpacking_difficulty,preferred_switch_difficulty,preferred_service_difficulty,first_choice,second_choice,third_choice,fourth_choice,fifth_choice,first_name,last_name,requests_aid,allergy,gender,birthdate,school_type,school,dorm
2,3,3,4,2,5,5,3,Blake,Guthrie,0,37,2,12/25/2016,2,Malcolm,8
2,3,3,3,3,2,2,2,Amaya,Holman,0,78,2,01/11/2016,1,Tad,12
3,1,2,4,5,3,4,2,Carl,Middleton,1,9,2,02/25/2017,2,Jakeem,6
1,1,3,2,3,3,3,3,Elijah,Guerra,1,20,1,09/15/2015,2,Uma,10
1,2,2,3,4,4,3,4,Tatum,Harrison,1,22,2,07/04/2016,1,Rhona,15
1,1,3,5,5,4,1,4,Imani,Horn,0,98,2,05/08/2016,1,Ima,5
2,1,1,1,1,2,2,5,Jescie,Spears,0,99,2,02/23/2016,2,Francesca,4
2,3,2,3,5,2,2,4,Hiroko,Lowe,0,3,2,02/28/2017,1,Dolan,17
2,2,2,1,5,4,3,4,Arthur,Houston,0,81,1,11/24/2016,1,Xavier,17
2,3,3,1,5,5,2,2,Hollee,Wolfe,0,96,1,03/20/2017,2,Kieran,14
1,2,2,1,4,2,2,2,Samson,Golden,0,86,2,05/15/2016,1,Fuller,5
3,3,2,2,1,5,4,5,Aspen,Bradford,1,29,2,08/07/2017,2,Jenna,12
2,2,2,2,3,2,1,5,Madeson,Griffith,0,8,1,12/29/2016,2,Jordan,4
3,1,1,5,3,4,3,3,Julian,Byers,1,35,1,05/10/2016,2,Kelly,6
1,3,3,4,1,4,1,2,Erasmus,Mills,1,52,1,12/14/2015,2,Shaeleigh,9
1,2,3,3,1,3,2,4,Cleo,Mathews,0,66,1,04/03/2017,2,Fletcher,9
3,3,3,1,5,3,1,2,Meredith,Barber,1,53,2,05/12/2017,2,Zoe,9
1,1,1,3,1,4,4,1,Marvin,Jimenez,0,41,2,09/14/2016,2,Galvin,9
1,3,2,3,2,2,2,1,Martin,Richardson,1,33,1,01/16/2016,2,Armand,5
1,1,1,4,5,3,5,3,Keely,Sims,1,42,1,11/26/2015,2,Lilah,13
2,1,1,2,1,2,2,5,Shelby,Santos,1,5,1,05/02/2016,1,Kamal,3
1,3,2,5,4,3,2,1,Cassidy,Lester,1,69,2,04/02/2016,2,Yoko,5
